Date,Open,High,Low,Close(t),Volume,SD20,Upper_Band,Lower_Band,S_Close(t-1),S_Close(t-2),S_Close(t-3),S_Close(t-5),S_Open(t-1),MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,ForceIndex1,ForceIndex20,Date_col,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,SnP(t-1)),SnP(t-5),DJIA_Close,DJIA(t-1)),DJIA(t-5),Close_forcast
2000-10-16,71.04,72.07,69.17,70.8,7710400,3.6542382027045814,81.31447640540918,66.69752359459085,69.49,65.7,71.36,75.14,66.38,70.10800000000003,71.50100000000012,74.00600000000001,77.54839999999996,72.92195000000002,70.36344142012882,70.36344142012882,70.36344142012882,70.36344142012882,70.36344142012882,-2.2950055438478785,-1.8595708716719295,3.4532744109814764,28.94570447166432,1333.3333333333335,-5.675459632294171,43.23140031328999,-53.42465753424664,46.57534246575336,0.051709206263361555,10100624.000000017,-59524287.99999999,2000-10-16,16,0,290,42,0,0,0,0,0,0,1,2000,10,71.5,70.85,65.5,72.04,71.05100000000002,74.98150000000003,79.79299999999986,1374.62,1374.17,1402.03,10238.8,10192.18,10568.43,71.99
2000-10-17,71.32,72.55,69.17,71.99,8882500,3.430447991305635,80.48639598261128,66.76460401738875,70.8,69.49,65.7,73.19,71.04,69.86800000000002,71.6560000000001,73.62550000000002,77.50779999999996,72.91360000000003,70.90562761341921,70.90562761341921,70.90562761341921,70.90562761341921,70.90562761341921,-2.124123453502804,-1.9124813880381044,3.448040524482799,28.724313012593935,1333.3333333333335,2.2004542873367368,45.68167861598308,-40.20912547528523,59.79087452471477,0.052100274553448386,10570174.99999998,-67595825.0,2000-10-17,17,1,291,42,0,0,0,0,0,0,1,2000,10,68.23,71.5,70.85,68.28,70.55000000000001,74.33050000000003,79.54879999999986,1349.97,1374.62,1387.02,10089.71,10238.8,10524.4,60.8
2000-10-18,61.64,63.15,57.5,60.8,29777800,4.20752868458183,81.10655736916368,64.27644263083636,71.99,70.8,69.49,71.36,71.32,67.75600000000003,70.4490000000001,72.69150000000002,77.20899999999997,72.86180000000002,67.53708507561282,67.53708507561282,67.53708507561282,67.53708507561282,67.53708507561282,-2.8586845114546406,-2.1017220127214116,4.23675191559117,30.684558652943203,1333.3333333333333,-16.563743653080838,31.787532573341,-82.37179487179489,17.628205128205114,0.08720443139057604,-333213581.99999994,-556249304.0000002,2000-10-18,18,2,292,42,0,0,0,0,0,0,1,2000,10,68.01,68.23,71.5,67.19,69.88500000000002,73.60550000000003,79.26759999999986,1342.13,1349.97,1364.59,9975.02,10089.71,10413.79,61.44
2000-10-19,62.44,62.76,59.05,61.44,17966900,4.745871446791771,81.38474289358356,62.40125710641647,60.8,71.99,70.8,65.7,61.64,66.90400000000002,69.38200000000009,71.89300000000001,76.92459999999997,72.80070000000002,65.50472338374189,65.50472338374189,65.50472338374189,65.50472338374189,65.50472338374189,-3.350563579519985,-2.3514903260811266,4.199126778763229,32.50478674755324,1333.3333333333335,-14.796838163916243,33.04190774032668,-78.95299145299147,21.047008547008534,0.08322508947703917,11498816.00000001,-286931393.0,2000-10-19,19,3,293,42,0,0,0,0,0,0,1,2000,10,74.17,68.01,68.23,65.5,69.81400000000001,73.48850000000003,79.15319999999987,1388.76,1342.13,1329.78,10142.98,9975.02,10034.58,60.37
2000-10-20,60.61,61.32,60.01,60.37,9369200,5.099733197355523,81.16496639471106,60.76603360528896,61.44,60.8,71.99,69.49,62.44,65.08000000000003,68.0280000000001,70.9655,76.60619999999997,72.74060000000003,63.793148922494595,63.793148922494595,63.793148922494595,63.793148922494595,63.793148922494595,-3.7831119823686805,-2.6378146573386374,4.001332008851569,34.19499854969113,1333.3333333333335,-18.31957786497091,31.982968727242728,-84.5366379310345,15.463362068965502,0.07416888670923946,-10025044.000000002,-173798660.00000003,2000-10-20,20,4,294,42,0,0,0,0,0,0,1,2000,10,75.26,74.17,68.01,70.85,70.10300000000001,73.19950000000003,79.09219999999988,1396.93,1388.76,1374.17,10226.59,10142.98,10192.18,59.17
2000-10-23,60.37,60.53,58.02,59.17,9338600,5.4290325541189555,80.86356510823792,59.1474348917621,60.37,61.44,60.8,70.8,60.61,62.75400000000003,66.4310000000001,70.00550000000001,76.25259999999997,72.67610000000003,62.252099281663064,62.252099281663064,62.252099281663064,62.252099281663064,62.252099281663064,-4.1746172896448,-2.94517518379987,3.8948082939335995,36.01529704788113,1333.3333333333335,-21.253659834974712,30.791140250013694,-91.0021551724138,8.997844827586215,0.07032344167574305,-11206319.99999996,-179301120.00000003,2000-10-23,23,0,297,43,0,0,0,0,0,0,1,2000,10,75.15,75.26,74.17,71.5,70.41400000000002,73.01300000000003,79.00719999999987,1395.78,1396.93,1374.62,10271.72,10226.59,10238.8,58.26
2000-10-24,59.25,60.13,57.46,58.26,8826200,5.838468864711832,80.80043772942366,57.446562270576344,59.17,60.37,61.44,71.99,60.37,60.008000000000024,64.9380000000001,69.1235,75.84739999999998,72.59275000000004,60.92139952110871,60.92139952110871,60.92139952110871,60.92139952110871,60.92139952110871,-4.506370823383705,-3.257414311716637,3.8073219872240567,37.773838414503764,1333.3333333333335,-20.398961606776883,29.8817590454394,-95.6989247311828,4.301075268817189,0.06595242447472296,-8031842.000000033,-155694168.00000006,2000-10-24,24,1,298,43,0,0,0,0,0,0,1,2000,10,71.94,75.15,75.26,68.23,70.78000000000002,72.71100000000004,78.82419999999988,1398.13,1395.78,1349.97,10393.07,10271.72,10089.71,55.79
2000-10-25,57.66,57.94,55.39,55.79,14058500,6.365900440711533,80.88580088142307,55.42219911857693,58.26,59.17,60.37,60.8,59.25,59.00600000000003,63.3810000000001,68.154,75.40859999999998,72.49390000000004,59.210933014072474,59.210933014072474,59.210933014072474,59.210933014072474,59.210933014072474,-4.911974066929737,-3.5883262627592574,3.7403704167080525,39.64919864423378,1333.3333333333335,-21.818946188340806,27.50707991555586,-98.0648282535075,1.9351717464924942,0.018799595715833946,-34724494.999999985,-272594315.0000001,2000-10-25,25,2,299,43,0,0,0,0,0,0,1,2000,10,67.9,71.94,75.15,68.01,70.85100000000003,72.20150000000004,78.56039999999987,1364.9,1398.13,1342.13,10326.48,10393.07,9975.02,59.09
2000-10-26,56.07,59.17,55.83,59.09,10135700,6.545417119111383,80.52783423822275,54.346165761777215,55.79,58.26,59.17,61.44,57.66,58.53600000000002,62.7200000000001,67.43699999999998,75.03099999999999,72.40995000000004,59.17062200938165,59.17062200938165,59.17062200938165,59.17062200938165,59.17062200938165,-4.910529610255779,-3.852766932258562,3.7146296726574772,40.777987200759135,1333.3333333333335,-10.060882800608827,34.94545523872565,-82.09966134494435,17.90033865505565,0.0386429656668829,33447810.000000045,-145345938.00000003,2000-10-26,26,3,300,43,0,0,0,0,0,0,1,2000,10,69.65,67.9,71.94,74.17,71.26600000000002,71.69200000000005,78.31519999999988,1364.44,1364.9,1388.76,10380.12,10326.48,10142.98,59.69
2000-10-27,59.25,59.69,57.98,59.69,6431400,6.680886542967057,80.1952730859341,53.47172691406587,59.09,55.79,58.26,60.37,56.07,58.40000000000002,61.7400000000001,66.83349999999999,74.66379999999998,72.33295000000004,59.343748006254444,59.343748006254444,59.343748006254444,59.343748006254444,59.343748006254444,-4.805574214169283,-4.043328388640706,3.5714418388962286,41.56796279362055,1333.3333333333335,-14.102748596920417,36.226732610982516,-77.63910556422259,22.36089443577741,0.038784675858969817,3858839.999999963,-77626998.00000004,2000-10-27,27,4,301,43,0,0,0,0,0,0,1,2000,10,69.51,69.65,67.9,75.26,71.13200000000002,71.29850000000006,78.03559999999989,1379.58,1364.44,1396.93,10590.62,10380.12,10226.59,59.45
