id,title,description,author,authorSrc,source,price,topic,language,level,label,license,publishedAt,createdAt,updatedAt
78bb5c47-d2a8-4730-82a5-95a30004aba1,Machine Learning Yearning Book,"An introductory book about developing ML algorithms ",Andrew Ng,https://www.andrewng.org/,https://info.deeplearning.ai/machine-learning-yearning-book#MYL-form,free,machine learning,en_US,beginner,"machine learning,AI",,,2023-08-02T01:17:03T+082,2023-08-02T01:17:00T+082
0a80511e-6625-464a-b472-552265de044e,Deep Learning,The Deep Learning textbook is a resource intended to help students and practitioners enter the field of machine learning in general and deep learning in particular. The online version of the book is now complete and will remain available online for free.,"Ian Goodfellow,Yoshua Bengio,Aaron Courville","https://en.wikipedia.org/wiki/Ian_Goodfellow,https://en.wikipedia.org/wiki/Yoshua_Bengio,https://www.linkedin.com/in/aaron-courville-53a63459/",https://www.deeplearningbook.org/,free,deep learning,en_US,advanced,"machine learning,AI,deep learning",,2015-05-07,2023-08-05T12:37:59T+085,2023-08-05T12:37:59T+085
1fc91e11-e69b-45e9-990a-6db9801087ac,Neural Networks and Deep Learning,"Neural Networks and Deep Learning is a free online book. The book will teach you about:

- Neural networks, a beautiful biologically-inspired programming paradigm which enables a computer to learn from observational data
- Deep learning, a powerful set of techniques for learning in neural networks

Neural networks and deep learning currently provide the best solutions to many problems in image recognition, speech recognition, and natural language processing. This book will teach you many of the core concepts behind neural networks and deep learning.","Michael Nielsen ",http://michaelnielsen.org/,http://neuralnetworksanddeeplearning.com/,free,deep learning,en_US,advanced,"machine learning,AI,deep learning",CC BY-NC 3.0,2014-12-01,2023-08-05T12:37:59T+085,2023-08-05T12:37:59T+085
a10e5da3-4956-4873-b292-5d8d972d39e3,Deep Learning,"Deep Learning: Methods and Applications provides an overview of general deep learning methodology and its applications to a variety of signal and information processing tasks. The application areas are chosen with the following three criteria in mind: (1) expertise or knowledge of the authors; (2) the application areas that have already been transformed by the successful use of deep learning technology, such as speech recognition and computer vision; and (3) the application areas that have the potential to be impacted significantly by deep learning and that have been benefitting from recent research efforts, including natural language and text processing, information retrieval, and multimodal information processing empowered by multitask deep learning.","Li Deng,Dong Yu","https://www.linkedin.com/in/lideng/,https://www.linkedin.com/in/dongyu/",https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/DeepLearning-NowPublishing-Vol7-SIG-039.pdf,free,deep learning,en_US,advanced,"machine learning,AI,deep learning",,2013-01-01,2023-08-05T12:37:59T+085,2023-08-05T12:37:59T+085
19bc74fe-fd56-44e2-9b4c-4181ed82ccdd,Artificial Intelligence: A Modern Approach,"The authoritative, most-used AI textbook, adopted by over 1500 schools.","Stuart Russell,Peter Norvig","http://www.cs.berkeley.edu/~russell,http://www.norvig.com/",http://aima.cs.berkeley.edu/index.html,free,AI,en_US,beginner,"machine learning,AI,deep learning",,2022-08-22,2023-08-05T12:37:59T+085,2023-08-05T12:37:59T+085
bc00347c-bde4-4f55-993c-0953e38fdfb2,Deep Learning in Neural Networks: An Overview,"In recent years, deep artificial neural networks (including recurrent ones) have won numerous contests in pattern recognition and machine learning. This historical survey compactly summarises relevant work, much of it from the previous millennium. Shallow and deep learners are distinguished by the depth of their credit assignment paths, which are chains of possibly learnable, causal links between actions and effects. I review deep supervised learning (also recapitulating the history of backpropagation), unsupervised learning, reinforcement learning & evolutionary computation, and indirect search for short programs encoding deep and large networks.",Jurgen Schmidhuber,https://en.wikipedia.org/wiki/J%C3%BCrgen_Schmidhuber,https://arxiv.org/pdf/1404.7828v4.pdf,free,deep learning,en_US,advanced,"machine learning,AI,deep learning",,2014-08-08,2023-08-05T12:37:59T+085,2023-08-05T12:37:59T+085
a5134d73-4241-4c14-8878-0301cbfd70c1,Dive into Deep Learning,"- Interactive deep learning book with code, math, and discussions
- Implemented with PyTorch, NumPy/MXNet, JAX, and TensorFlow
- Adopted at 400 universities from 60 countries","Aston Zhang,Zack C. Lipton,Mu Li,Alex J. Smola","https://www.astonzhang.com/,http://zacklipton.com/,https://www.cs.cmu.edu/~muli/,https://alex.smola.org/",https://d2l.ai/,free,deep learning,"en_US,zh_CN",advanced,"machine learning,AI,deep learning,code","CC SA 4.0,MIT",2019-01-01,2023-08-05T12:38:02T+085,2023-08-05T12:37:59T+085
d6982326-2beb-416d-8e49-63819b9e94c3,Deep Learning for Coders with Fastai and PyTorch: AI Applications Without a PhD,"[Deep Learning for Coders with Fastai and PyTorch: AI Applications Without a PhD](https://www.amazon.com/Deep-Learning-Coders-fastai-PyTorch/dp/1492045527) is the book that forms the basis for this course. We recommend reading the book as you complete the course. There’s a few ways to read the book – you can buy it as a paper book or Kindle ebook, or you can [read it for free online](https://github.com/fastai/fastbook). The whole book is written as Jupyter notebooks, so you can also execute all the code in the book yourself.

To go to the interactive Jupyter version of any chapter, click any of the chapter links in the [Colab](https://course.fast.ai/Resources/book.html#Colab) section immediately below. If you just want to read the book, without interacting with the code, jump to the [nbviewer](https://course.fast.ai/Resources/book.html#nbviewer) section.",Jeremy Howard,https://en.wikipedia.org/wiki/Jeremy_Howard_(entrepreneur),https://course.fast.ai/Resources/book.html,free,deep learning,en_US,advanced,"machine learning,AI,deep learning,code",,,2023-08-05T12:38:02T+085,2023-08-05T12:37:59T+085
,Deep Blueberry Book,"# [🐳](https://mithi.github.io/deep-blueberry/ch0-introduction.html#-- ""33Mudy961bUk9zz35p68g9fE3uuHLRduRp"") [☕️](https://ko-fi.com/minimithi ""Buy me a cup of coffee!"") [🧧](https://paypal.me/minimithi ""Donate with PayPal"")

This is a tiny and very focused collection of links about deep learning. If you've always wanted to learn deep learning stuff but don't know where to start, you might have stumbled upon the right place!

* [Deep Learning Foundations](https://mithi.github.io/deep-blueberry/ch1-deep-learning-foundations.html)
* [Deep Computer Vision](https://mithi.github.io/deep-blueberry/ch2-deep-computer-vision.html)
* [Deep Sequence Models](https://mithi.github.io/deep-blueberry/ch3-deep-sequence-models.html)
* [Deep Generative Models](https://mithi.github.io/deep-blueberry/ch4-deep-generative-models.html)
* [Deep Reinforcement Learning](https://mithi.github.io/deep-blueberry/ch5-deep-reinforcement-learning.html)
* [Deeper: What's next?](https://mithi.github.io/deep-blueberry/ch6-deeper.html)

This self-learning plan is split into five modules and designed to be completed in five weekends. Per module, you might want to take about four hours to digest the theory plus an additional six or more hours to experiment with available code.

[ ](https://mithi.github.io/deep-blueberry/ch0-introduction.html#prerequisites)",Mithi Sevilla,https://github.com/mithi,https://mithi.github.io/deep-blueberry/,free,deep learning,en_US,advanced,"machine learning,AI,deep learning,code,video",,,2023-08-08T12:38:02T+085,2023-08-08T12:38:02T+085
,Dive Into Python 3,"Dive Into Python 3 comprises original prose and graphics licensed under the [CC-BY-SA-3.0](http://creativecommons.org/licenses/by-sa/3.0/ ""Creative Commons Attribution-ShareAlike 3.0 Unported"") license. Illustrations from the [Open Clip Art Library](http://openclipart.org/) are public domain.

The [`chardet` library](https://diveinto.org/python3/case-study-porting-chardet-to-python-3.html) is licensed under the LGPL 2.1 or later. The [alphametics solver](https://diveinto.org/python3/advanced-iterators.html) is a port of [Raymond Hettinger’s version](http://code.activestate.com/recipes/576615/), released under the MIT license. Several chapters contain code from the Python standard library, released under the PSF License 2.0. All other original code is licensed under the MIT license.

The online edition uses [jQuery](http://jquery.com/), released under the MIT and GPL licenses. Color syntax highlighting is provided by [prettify.js](http://code.google.com/p/google-code-prettify/), other parsing code is adapted from [highlighter.js](http://code.google.com/p/javascript-search-term-highlighter/); both are released under the Apache License 2.0.

Corrections and feedback to [mark@diveintomark.org](mailto:mark@diveintomark.org) or [on Github](https://github.com/diveintomark/diveintopython3/issues).",Mark Pilgrim,,https://diveinto.org/python3/table-of-contents.html,free,python,en_US,beginner,python,"CC BY-SA 3.0,LGPL 2.1,Apache 2.0",,2023-08-08T12:38:02T+085,2023-08-08T12:38:02T+085
