x,y,color
79.40828883263248,152.8344238267352,0
98.04626262648556,186.91070044738052,0
240.57897871157888,48.47368390315306,1
109.68718315747228,277.94576914699053,0
249.62608202973632,229.75335243547173,1
100.7846999022866,281.9834915570912,0
235.3302284108093,109.53973974862691,1
262.35201641365506,64.57463208572932,1
76.55886415810781,204.2958429220136,0
245.55799410834155,134.50199833817595,1
77.63620971582323,276.3744288428442,0
271.9710914833439,179.42881388196048,1
104.6974811220976,133.67144236686462,0
85.46275741166298,235.56492378547424,0
112.96618986481296,316.2522878813427,0
230.44503996035328,80.37598947582806,1
267.1076022957829,227.29248272207403,1
221.91492290585327,172.99027915746092,1
260.23753770666497,295.33742515126704,1
445.299113339602,228.65313375641097,3
84.19446405672677,236.1113076549514,0
254.22079723564104,106.8700877532044,1
129.53845101701762,260.54777205504314,0
126.0935881419958,185.6223961406036,0
486.4769173149698,226.4003952926521,3
275.999362838969,139.6895266719426,1
76.1794561305078,328.75449902465783,0
136.94451343735275,211.8044632944228,0
114.87036283353622,177.06206220436732,0
497.9946415011163,211.04427955871444,3
149.2489679944091,216.4248735803648,0
94.06968973672538,247.12858901807053,0
258.92089076092367,160.90469451689512,1
455.266044404694,201.72230720320755,3
358.82702769514106,462.53299227241786,2
269.7548652280775,180.83041976659425,1
101.0318245476664,302.1833275302836,0
232.9396848171716,139.13327894661433,1
85.93550279834696,190.6008995169664,0
544.0351224345292,194.96980186864903,3
363.1657938357064,391.27068294819054,2
291.33330750724474,101.14467781926328,1
63.9972728672364,258.5060444461786,0
111.92527380298988,292.13890730078583,0
108.72642874025992,219.118735229624,0
378.4094055439391,296.0185189612043,2
411.3168912592383,370.4521641663897,2
394.9576066667736,404.9961186075103,2
236.8551842967996,135.249238769706,1
100.47222900100962,282.68560364116814,0
328.7082939157844,387.1786588457185,2
84.05968032874655,244.3149711741096,0
112.9724259781071,85.4598254782839,0
124.81489580569306,134.98623776466238,0
521.0236094739084,254.34972296931548,3
94.24452148634305,171.23988280758468,0
292.07140558081744,128.5062779826302,1
106.6780571988304,171.08713408086825,0
409.65012901438007,360.3330023086442,2
235.069286604899,107.86620896429751,1
505.4277248362611,132.5392819815312,3
525.4941125380781,201.11604661809693,3
399.2113212745346,407.5907136842369,2
508.7877969113812,204.0447022400467,3
129.4889909380549,170.35418643671582,0
448.4597081822315,209.0208060767916,3
530.410606526724,287.4715880759151,3
94.3546783055193,231.4283339464573,0
135.02760511123688,170.59489949009526,0
84.87633848187738,159.49814472978113,0
348.87869421029484,323.167319448466,2
227.42807390584363,166.29718875691742,1
377.5321518830365,421.8577297029641,2
283.9467375443717,120.0463240488934,1
302.8523300748568,88.88155995977885,1
148.6640427670092,224.04651147842185,0
255.6226489073024,83.280447218644,1
500.9171690478229,132.55874782433395,3
291.1782006227223,101.73479945321846,1
132.22984206864697,252.887052292134,0
216.49159311361112,108.38668164443702,1
511.9611177587704,304.7155532416909,3
444.4379252072664,141.06764777936712,3
272.01172567124905,124.11712898976438,1
510.3463757655308,216.96885946113403,3
251.2496480263348,135.48040899093024,1
262.57859708732195,270.3578230535657,1
539.3084425570341,125.24322011352812,3
162.02161692018993,169.25827914807908,0
124.63988516499832,202.98026049936323,0
242.3232073568577,234.83103263993405,1
240.15009720344463,219.1965879308541,1
82.83595635263293,116.1206363045542,0
238.7264738883628,61.20667417962872,1
350.44388108078454,400.6758994759718,2
110.13836274583596,286.3826290848804,0
266.8876722567361,240.3655421358307,1
247.81257693348968,153.1335733048803,1
279.0530256586435,50.38720295867903,1
377.9897668075898,234.9788280773224,2
492.0785927831193,220.8164204892176,3
379.9735867721224,339.2991999055946,2
275.250245178994,179.09943983636083,1
107.61243478272218,335.7783822717865,0
123.61804773991864,207.65923387577072,0
103.31864472968113,308.93601611378426,0
246.8241652478832,88.29179848260323,1
197.1700544901904,142.36886181655018,1
215.209641846606,93.26882165855804,1
411.60325671692925,377.4811807070324,2
259.2650541393253,189.9952942581517,1
254.4463762804419,179.31930126229042,1
363.5200916598613,324.48959283573595,2
472.23237027830766,265.4524542438153,3
286.0224178474284,197.3812590001456,1
90.61267118706031,209.37654700766765,0
96.82843944503055,150.23921556751029,0
275.038282622596,159.28282871800593,1
383.6451016981017,448.20353694255647,2
238.8974444513593,69.3909314645184,1
222.61779405323955,52.36650029993461,1
90.84410869407412,194.75578062971223,0
319.8273577388097,333.1885464107587,2
371.5671521022926,412.4758670978975,2
99.71451707577232,266.8509340431826,0
269.0054167650279,118.7026050787148,1
265.0825135403716,258.2071230391774,1
51.91176590315587,187.6610037431756,0
122.12904240805489,169.91636786627075,0
492.1339894296472,330.56496138757143,3
465.2992681971134,292.70917268391486,3
57.44835292819923,174.64119921086962,0
97.638366046121,91.4740691794894,0
231.9251212115339,116.9192586073053,1
358.4294392038192,284.33641779244823,2
391.1206380971361,299.3330425984823,2
242.59341078366185,128.1282554112259,1
259.4419855556876,167.64883950365677,1
105.5169351732168,182.18909959775925,0
358.8251553469129,213.3880230214828,2
95.52330471570524,206.99468109016703,0
127.19492631048723,164.83752641964176,0
446.2760642259698,101.3514077643714,3
238.98254313517427,224.16925491896765,1
509.9256114052272,134.8256290956328,3
93.21035107924872,195.49436195147248,0
106.77758316941332,340.14238179052074,0
515.2246645713816,226.9641899329285,3
56.10175317732,289.213884767501,0
124.78360486531966,178.22296708912504,0
77.94995518424423,160.34074003537555,0
243.4064725877572,214.580088867296,1
258.7587491488778,254.1478094855844,1
384.7859748623147,391.3541164015717,2
489.4173858634708,169.4281778602798,3
92.85650816284333,278.2951005169129,0
78.11337830542199,238.9126020334268,0
72.24605065233686,162.62076222909076,0
494.6316174774207,84.99323281307463,3
367.2908148240944,391.2873477823961,2
96.56612347568446,135.4082539916832,0
117.61189407665644,354.7866288116734,0
94.69724445978396,100.52114996989636,0
351.9862297612854,393.54373792694696,2
149.83927285587924,209.1916840670565,0
120.86323957930628,228.6670166086167,0
477.867911599891,174.11748195735052,3
521.1431593580014,368.35869012634913,3
83.52010194619129,130.55909773310265,0
492.5156340374333,58.49408448942543,3
358.2755335475666,505.12511508222366,2
97.8182839472606,165.051371983436,0
467.28369999773327,132.44487472852353,3
100.58301818637068,329.86170438933107,0
513.8343592111503,327.3814780782928,3
210.8232379858456,121.0358532421225,1
261.21104607899287,143.42266006960588,1
58.48250799004698,176.2871569624815,0
509.9936220045914,219.7959112865824,3
233.5864313436764,145.66383538881803,1
260.8496822017932,145.25763667175684,1
354.7639494264544,349.8263781263253,2
112.16954332585878,189.48711493248325,0
521.4806554643689,128.69311167402037,3
318.6395665730062,98.87109603879318,1
232.80898819967985,103.52070540531854,1
119.7945786443971,146.0294379999694,0
507.0,93.0,3
377.1379711186999,264.3486550965755,2
118.62031495939992,250.4451545750155,0
199.9248630891945,143.77542269961435,1
377.72256088482726,354.1407345955589,2
371.76682647493146,390.9731936205615,2
392.5757245161993,375.7266696039058,2
371.0762631821557,421.62212721962544,2
512.6676547663424,343.738060880184,3
355.51601566843914,428.1197161738402,2
271.65144393141725,27.80702322496373,1
252.96350249361544,103.80308185334188,1
60.31968620365288,291.1457908990278,0
90.92036600657202,175.59536453666584,0
340.64509416017154,354.6135136871906,2
406.30688092215325,304.26339032818936,2
449.4063551857443,149.68238298734855,3
58.28191135276109,194.08331502458304,0
319.3925331060405,299.9220539893229,2
269.59569250124633,55.02790041139183,1
108.6281173751687,121.51102903797832,0
349.16075402688165,289.2567991793032,2
355.326947038999,400.1548260381727,2
69.74154651615392,123.68196859034435,0
494.3391672277114,163.17321939143423,3
125.42923848549778,304.7314230383524,0
94.1277894998414,361.53610211368016,0
491.7860645508088,128.8703151422823,3
217.355764515768,109.52105303982124,1
271.28404612338375,76.63560949380842,1
266.39479791223084,236.62677482436905,1
269.46762369551624,162.38427071420188,1
295.8752410953984,84.55568781440687,1
79.53138012748545,216.48186680465764,0
249.27998072038096,75.87357373143433,1
388.8281474297063,439.88714504410257,2
345.3679247719893,330.46110634269377,2
93.35482268585116,102.19161123659109,0
371.2181213755388,252.127705573796,2
515.0276537268435,222.7578519692308,3
260.48436087219767,118.35585405825849,1
228.6598871897613,53.99735731501812,1
235.78457885333071,61.7026594183068,1
351.319296216741,452.4196199730685,2
397.34723491472977,259.1538500288815,2
257.54989261447616,117.91790492135438,1
357.59569296027536,427.1218300065984,2
394.29782710471903,432.4443141416196,2
379.278418382254,232.0279015223272,2
108.59812305426314,146.91320639286388,0
379.31698126480336,372.0985488957349,2
402.31833359989554,389.5634229276825,2
405.34910860078577,353.18983680026423,2
362.01670626793145,341.1109304385864,2
101.81322335118116,230.34913335992857,0
93.61952151594636,182.73621143764151,0
266.0162597998665,122.07509785392192,1
98.4658632933621,280.9498371635622,0
326.37116104939105,338.5558700613865,2
224.76084789215105,173.56519655568275,1
369.692491105233,305.6791604412654,2
235.5040027819556,78.32635667968478,1
503.0560177361836,308.79874548145114,3
389.7857475741465,454.1258320974609,2
242.9828753037498,204.76706863294385,1
341.89454127823257,412.5392132884044,2
242.64884875994235,101.10946724043944,1
264.25887330207763,225.2614830790908,1
154.74610178739948,238.65373033728324,0
507.2557461076748,93.73664045287936,3
99.23582751837456,215.01024353288932,0
393.07892471555874,451.1004343153821,2
265.54172725185185,174.00189914588714,1
92.2197732857138,283.9459403511636,0
109.62094295684784,136.26921379754305,0
398.82099719231456,417.9162584507934,2
99.26898098180176,320.65545878397114,0
493.580543430152,278.0505753499693,3
466.6661999835191,94.72975034113988,3
342.7487262912102,391.1191371503893,2
500.3571973739546,193.0793650796492,3
329.6012288025193,419.8767509783099,2
361.5625815040592,265.74503825011124,2
66.97273708713823,282.03550052655726,0
108.78925500367878,181.2220799371825,0
213.98804296591203,186.9462166990683,1
112.55755574210528,161.48801691142634,0
230.6319352654725,196.89356101008448,1
107.0908596531064,180.78989637934217,0
316.7903543266081,322.49155103990296,2
61.14636600753965,154.92494621911567,0
393.0889300138253,358.97244461155253,2
128.59625771130948,229.38258822965483,0
363.2071147161467,275.86048828218475,2
220.5633420709986,165.32259655662406,1
96.0,44.0,0
156.40521780011323,214.70709828012747,0
237.11804228121628,149.5647816120065,1
271.44421455388215,211.013754549712,1
476.9372137014252,189.9698306333664,3
221.8528390859625,78.42414068509922,1
126.61084345870457,180.9953136538753,0
371.4808150505287,281.83219357006834,2
